paper_id	area_id
0415	07
0417	05
0418	01
0042	04
0421	05
0422	07
0424	07
0425	05
0426	02
0427	10
0429	05
0043	07
0430	08
0431	06
0432	02
0433	01
0435	10
0436	02
0437	03
0438	11
0439	09
0044	03
0440	07
0441	05
0442	11
0444	06
0445	06
0446	09
0447	04
0448	01
0449	07
0045	07
0450	05
0451	01
0454	04
0455	08
0456	01
0458	06
0459	01
0046	04
0461	10
0463	06
0464	06
0465	01
0466	04
0467	04
0468	08
0469	06
0047	03
0471	09
0472	01
0473	01
0475	09
0477	10
0478	01
0048	04
0481	03
0482	08
0484	01
0485	07
0487	07
0488	05
0489	07
0049	02
0490	03
0491	05
0492	04
0494	07
0495	10
0496	05
0497	11
0498	07
0499	10
0050	11
0500	08
0501	05
0502	03
0503	09
0504	03
0505	01
0506	03
0507	02
0508	06
0509	09
0051	09
0510	07
0511	01
0512	05
0513	03
0514	05
0516	05
0517	06
0518	06
0519	05
0520	09
0521	03
0523	01
0524	04
0525	09
0526	03
0527	02
0528	04
0529	06
0053	01
0530	07
0531	10
0532	01
0533	08
0535	06
0536	01
0538	02
0539	10
0054	06
0540	06
0541	05
0544	05
0545	11
0546	10
0548	03
0055	01
0550	01
0551	06
0554	01
0555	07
0556	12
0557	01
0558	05
0559	03
0560	01
0561	11
0563	09
0564	07
0566	02
0567	06
0568	01
0569	05
0057	05
0570	12
0571	06
0572	11
0573	05
0574	06
0575	04
0576	05
0577	01
0578	07
0579	01
0058	01
0581	04
0582	02
0583	12
0585	03
0586	02
0587	01
0588	03
0589	06
0059	07
0590	03
0591	02
0592	11
0593	01
0594	04
0595	05
0596	10
0597	05
0598	08
0599	03
0601	07
0602	01
0603	06
0604	06
0605	01
0606	03
0607	03
0608	10
0609	03
0061	01
0613	12
0614	07
0615	07
0616	02
0617	03
0618	06
0619	01
0062	07
0620	01
0621	05
0623	03
0624	07
0625	03
0626	08
0627	11
0628	02
0629	04
0630	03
0631	10
0632	07
0633	01
0635	07
0636	09
0638	06
0639	01
0064	06
0640	06
0642	06
0643	04
0644	07
0646	05
0647	06
0648	05
0649	08
0065	07
0650	02
0651	02
0652	03
0653	08
0654	10
0655	03
0656	05
0657	02
0658	06
0659	06
0066	02
0660	02
0661	02
0662	07
0663	04
0664	01
0665	07
0666	03
0667	01
0668	01
0669	07
0670	05
0671	06
0672	05
0673	11
0674	06
0676	11
0677	08
0678	09
0679	01
0680	02
0681	08
0682	01
0683	06
0684	01
0687	01
0688	09
0689	03
0690	09
0692	06
0693	11
0694	07
0696	01
0697	11
0698	11
0699	02
0070	01
0700	03
0701	08
0702	02
0703	04
0704	07
0705	05
0706	10
0708	05
0709	06
0071	04
0711	02
0712	03
0713	06
0714	02
0716	07
0718	01
0072	02
0720	06
0721	03
0722	03
0723	04
0725	10
0726	07
0727	06
0728	03
0729	07
0073	05
0730	03
0731	03
0732	04
0733	03
0734	04
0735	03
0737	05
0739	08
0074	01
0740	04
0741	03
0742	03
0743	07
0744	01
0745	03
0746	01
0747	07
0748	07
0749	03
0075	05
0750	05
0751	07
0752	03
0753	01
0754	08
0755	10
0756	05
0757	07
0758	09
0759	10
0076	01
0760	08
0761	09
0762	06
0763	08
0764	03
0765	01
0766	11
0767	03
0769	05
0770	06
0771	03
0772	03
0773	01
0774	03
0775	06
0776	06
0777	11
0778	01
